state,date,type,median,lower_90,upper_90,lower_50,upper_50
California,2020-07-31,estimate,0.97,0.92,1.03,0.94,0.99
California,2020-08-01,estimate,0.97,0.92,1.03,0.94,0.99
California,2020-08-02,estimate,0.97,0.92,1.03,0.94,0.99
California,2020-08-03,estimate,0.97,0.91,1.03,0.94,0.99
California,2020-08-04,estimate,0.97,0.9,1.02,0.94,0.98
California,2020-08-05,estimate,0.96,0.9,1.03,0.94,0.99
California,2020-08-06,estimate,0.96,0.9,1.02,0.94,0.98
California,2020-08-07,estimate,0.96,0.89,1.01,0.93,0.97
California,2020-08-08,estimate,0.95,0.89,1.01,0.93,0.97
California,2020-08-09,estimate,0.95,0.89,1.01,0.93,0.97
California,2020-08-10,estimate,0.94,0.88,1,0.92,0.97
California,2020-08-11,estimate,0.94,0.87,1,0.91,0.96
California,2020-08-12,estimate,0.93,0.86,0.99,0.91,0.96
California,2020-08-13,estimate based on partial data,0.92,0.85,0.99,0.89,0.95
California,2020-08-14,estimate based on partial data,0.92,0.84,1,0.89,0.95
California,2020-08-15,estimate based on partial data,0.91,0.83,1,0.88,0.95
California,2020-08-16,estimate based on partial data,0.91,0.81,1,0.87,0.94
California,2020-08-17,estimate based on partial data,0.91,0.8,1,0.87,0.94
California,2020-08-18,estimate based on partial data,0.9,0.78,1,0.86,0.95
California,2020-08-19,estimate based on partial data,0.9,0.77,1.01,0.86,0.95
California,2020-08-20,estimate based on partial data,0.9,0.76,1.02,0.85,0.94
California,2020-08-21,estimate based on partial data,0.9,0.75,1.03,0.84,0.95
California,2020-08-22,estimate based on partial data,0.9,0.75,1.04,0.84,0.95
California,2020-08-23,estimate based on partial data,0.9,0.72,1.03,0.84,0.95
California,2020-08-24,estimate based on partial data,0.9,0.74,1.07,0.85,0.96
California,2020-08-25,estimate based on partial data,0.9,0.72,1.06,0.84,0.96
California,2020-08-26,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-08-27,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-08-28,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-08-29,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-08-30,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-08-31,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-09-01,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-09-02,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-09-03,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-09-04,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-09-05,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-09-06,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-09-07,forecast,0.9,0.72,1.06,0.84,0.96
California,2020-09-08,forecast,0.9,0.72,1.06,0.84,0.96
Colorado,2020-06-16,estimate,1.07,0.98,1.16,1.05,1.12
Colorado,2020-06-17,estimate,1.07,0.98,1.16,1.05,1.12
Colorado,2020-06-18,estimate,1.08,0.98,1.16,1.04,1.11
Colorado,2020-06-19,estimate,1.08,0.99,1.16,1.05,1.13
Colorado,2020-06-20,estimate,1.08,0.99,1.16,1.05,1.12
Colorado,2020-06-21,estimate,1.09,1.01,1.16,1.06,1.12
Colorado,2020-06-22,estimate,1.09,1.01,1.17,1.06,1.13
Colorado,2020-06-23,estimate,1.1,1.03,1.18,1.06,1.12
Colorado,2020-06-24,estimate,1.11,1.04,1.18,1.08,1.14
Colorado,2020-06-25,estimate,1.11,1.04,1.19,1.09,1.15
Colorado,2020-06-26,estimate,1.12,1.05,1.2,1.09,1.15
Colorado,2020-06-27,estimate,1.13,1.05,1.21,1.1,1.16
Colorado,2020-06-28,estimate,1.14,1.06,1.22,1.1,1.16
Colorado,2020-06-29,estimate,1.14,1.07,1.23,1.11,1.17
Colorado,2020-06-30,estimate,1.15,1.07,1.23,1.11,1.17
Colorado,2020-07-01,estimate,1.15,1.08,1.24,1.12,1.18
Colorado,2020-07-02,estimate,1.15,1.08,1.24,1.12,1.18
Colorado,2020-07-03,estimate,1.16,1.07,1.24,1.12,1.19
Colorado,2020-07-04,estimate,1.16,1.08,1.24,1.12,1.19
Colorado,2020-07-05,estimate,1.16,1.08,1.25,1.12,1.18
Colorado,2020-07-06,estimate,1.15,1.07,1.24,1.11,1.18
Colorado,2020-07-07,estimate,1.15,1.07,1.24,1.11,1.18
Colorado,2020-07-08,estimate,1.14,1.07,1.23,1.11,1.18
Colorado,2020-07-09,estimate,1.14,1.05,1.22,1.11,1.18
Colorado,2020-07-10,estimate,1.12,1.04,1.21,1.09,1.16
Colorado,2020-07-11,estimate,1.11,1.03,1.2,1.08,1.15
Colorado,2020-07-12,estimate,1.1,1.02,1.19,1.08,1.14
Colorado,2020-07-13,estimate,1.09,1.01,1.17,1.06,1.13
Colorado,2020-07-14,estimate,1.08,1,1.16,1.04,1.1
Colorado,2020-07-15,estimate,1.06,0.99,1.15,1.04,1.1
Colorado,2020-07-16,estimate,1.05,0.97,1.13,1.01,1.07
Colorado,2020-07-17,estimate,1.03,0.96,1.11,1,1.06
Colorado,2020-07-18,estimate,1.02,0.94,1.09,0.98,1.04
Colorado,2020-07-19,estimate,1,0.93,1.07,0.97,1.03
Colorado,2020-07-20,estimate,0.99,0.91,1.06,0.96,1.01
Colorado,2020-07-21,estimate,0.97,0.9,1.04,0.94,1
Colorado,2020-07-22,estimate,0.95,0.88,1.02,0.93,0.98
Colorado,2020-07-23,estimate,0.94,0.86,1,0.91,0.97
Colorado,2020-07-24,estimate,0.93,0.85,0.99,0.9,0.96
Colorado,2020-07-25,estimate,0.91,0.84,0.98,0.89,0.94
Colorado,2020-07-26,estimate,0.9,0.82,0.97,0.88,0.94
Colorado,2020-07-27,estimate,0.89,0.81,0.96,0.86,0.92
Colorado,2020-07-28,estimate,0.88,0.79,0.95,0.86,0.92
Colorado,2020-07-29,estimate,0.87,0.79,0.95,0.84,0.91
Colorado,2020-07-30,estimate,0.87,0.78,0.95,0.83,0.91
Colorado,2020-07-31,estimate,0.86,0.78,0.95,0.83,0.91
Colorado,2020-08-01,estimate,0.86,0.77,0.95,0.83,0.91
Colorado,2020-08-02,estimate,0.87,0.78,0.96,0.83,0.91
Colorado,2020-08-03,estimate,0.87,0.77,0.95,0.84,0.92
Colorado,2020-08-04,estimate,0.88,0.79,0.96,0.85,0.93
Colorado,2020-08-05,estimate,0.88,0.79,0.97,0.87,0.94
Colorado,2020-08-06,estimate,0.89,0.8,0.97,0.87,0.94
Colorado,2020-08-07,estimate,0.9,0.81,0.98,0.88,0.94
Colorado,2020-08-08,estimate,0.92,0.83,0.99,0.89,0.95
Colorado,2020-08-09,estimate,0.93,0.85,1.01,0.91,0.97
Colorado,2020-08-10,estimate,0.94,0.86,1.02,0.91,0.98
Colorado,2020-08-11,estimate,0.96,0.88,1.04,0.92,0.99
Colorado,2020-08-12,estimate,0.98,0.9,1.07,0.94,1.02
Colorado,2020-08-13,estimate based on partial data,1,0.9,1.1,0.96,1.04
Colorado,2020-08-14,estimate based on partial data,1.02,0.9,1.13,0.97,1.07
Colorado,2020-08-15,estimate based on partial data,1.04,0.91,1.18,0.97,1.09
Colorado,2020-08-16,estimate based on partial data,1.06,0.91,1.22,0.99,1.12
Colorado,2020-08-17,estimate based on partial data,1.07,0.91,1.26,0.97,1.13
Colorado,2020-08-18,estimate based on partial data,1.09,0.89,1.3,0.98,1.15
Colorado,2020-08-19,estimate based on partial data,1.1,0.89,1.34,0.98,1.17
Colorado,2020-08-20,estimate based on partial data,1.11,0.87,1.38,0.98,1.19
Colorado,2020-08-21,estimate based on partial data,1.12,0.87,1.43,0.97,1.19
Colorado,2020-08-22,estimate based on partial data,1.13,0.87,1.47,0.97,1.2
Colorado,2020-08-23,estimate based on partial data,1.13,0.85,1.51,0.95,1.2
Colorado,2020-08-24,estimate based on partial data,1.13,0.83,1.54,0.95,1.21
Colorado,2020-08-25,estimate based on partial data,1.13,0.81,1.58,0.92,1.19
Colorado,2020-08-26,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-08-27,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-08-28,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-08-29,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-08-30,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-08-31,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-09-01,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-09-02,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-09-03,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-09-04,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-09-05,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-09-06,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-09-07,forecast,1.13,0.81,1.58,0.92,1.19
Colorado,2020-09-08,forecast,1.13,0.81,1.58,0.92,1.19
Connecticut,2020-06-16,estimate,0.98,0.89,1.07,0.95,1
Connecticut,2020-06-17,estimate,0.98,0.88,1.06,0.95,1
Connecticut,2020-06-18,estimate,0.97,0.86,1.05,0.96,1.01
Connecticut,2020-06-19,estimate,0.97,0.87,1.06,0.95,1
Connecticut,2020-06-20,estimate,0.97,0.86,1.06,0.95,1
Connecticut,2020-06-21,estimate,0.97,0.87,1.06,0.95,1
Connecticut,2020-06-22,estimate,0.97,0.85,1.05,0.95,1
Connecticut,2020-06-23,estimate,0.97,0.85,1.05,0.95,1
Connecticut,2020-06-24,estimate,0.97,0.85,1.06,0.95,1
Connecticut,2020-06-25,estimate,0.97,0.85,1.06,0.95,1
Connecticut,2020-06-26,estimate,0.97,0.84,1.05,0.95,1
Connecticut,2020-06-27,estimate,0.97,0.85,1.07,0.95,1
Connecticut,2020-06-28,estimate,0.97,0.85,1.07,0.96,1.01
Connecticut,2020-06-29,estimate,0.97,0.84,1.06,0.96,1.01
Connecticut,2020-06-30,estimate,0.97,0.84,1.06,0.95,1.01
Connecticut,2020-07-01,estimate,0.97,0.86,1.07,0.95,1.01
Connecticut,2020-07-02,estimate,0.98,0.86,1.07,0.95,1
Connecticut,2020-07-03,estimate,0.98,0.86,1.07,0.95,1
Connecticut,2020-07-04,estimate,0.98,0.87,1.07,0.95,1.01
Connecticut,2020-07-05,estimate,0.98,0.88,1.08,0.96,1.01
Connecticut,2020-07-06,estimate,0.98,0.89,1.1,0.95,1
Connecticut,2020-07-07,estimate,0.98,0.87,1.09,0.95,1
Connecticut,2020-07-08,estimate,0.98,0.88,1.1,0.96,1.01
Connecticut,2020-07-09,estimate,0.98,0.86,1.09,0.96,1.01
Connecticut,2020-07-10,estimate,0.98,0.87,1.09,0.95,1
Connecticut,2020-07-11,estimate,0.98,0.88,1.11,0.95,1
Connecticut,2020-07-12,estimate,0.98,0.87,1.1,0.95,1.01
Connecticut,2020-07-13,estimate,0.98,0.87,1.1,0.95,1
Connecticut,2020-07-14,estimate,0.98,0.89,1.12,0.95,1
Connecticut,2020-07-15,estimate,0.98,0.88,1.11,0.95,1
Connecticut,2020-07-16,estimate,0.98,0.88,1.11,0.95,1.01
Connecticut,2020-07-17,estimate,0.98,0.88,1.12,0.95,1
Connecticut,2020-07-18,estimate,0.98,0.89,1.13,0.95,1
Connecticut,2020-07-19,estimate,0.98,0.87,1.1,0.95,1
Connecticut,2020-07-20,estimate,0.98,0.88,1.11,0.95,1.01
Connecticut,2020-07-21,estimate,0.98,0.87,1.1,0.95,1.01
Connecticut,2020-07-22,estimate,0.98,0.88,1.11,0.95,1
Connecticut,2020-07-23,estimate,0.98,0.88,1.1,0.94,1
Connecticut,2020-07-24,estimate,0.98,0.87,1.09,0.95,1.01
Connecticut,2020-07-25,estimate,0.98,0.87,1.1,0.94,1.01
Connecticut,2020-07-26,estimate,0.98,0.87,1.1,0.94,1.01
Connecticut,2020-07-27,estimate,0.98,0.87,1.1,0.94,1.01
Connecticut,2020-07-28,estimate,0.98,0.87,1.1,0.94,1.01
Connecticut,2020-07-29,estimate,0.98,0.87,1.1,0.94,1.01
Connecticut,2020-07-30,estimate,0.98,0.85,1.09,0.94,1.01
Connecticut,2020-07-31,estimate,0.98,0.84,1.09,0.95,1.01
Connecticut,2020-08-01,estimate,0.98,0.85,1.09,0.95,1.01
Connecticut,2020-08-02,estimate,0.98,0.85,1.1,0.95,1.02
Connecticut,2020-08-03,estimate,0.98,0.84,1.09,0.95,1.02
Connecticut,2020-08-04,estimate,0.98,0.85,1.1,0.94,1.01
Connecticut,2020-08-05,estimate,0.98,0.83,1.09,0.94,1.01
Connecticut,2020-08-06,estimate,0.98,0.83,1.09,0.94,1.01
Connecticut,2020-08-07,estimate,0.98,0.85,1.11,0.93,1.01
Connecticut,2020-08-08,estimate,0.98,0.84,1.11,0.94,1.02
Connecticut,2020-08-09,estimate,0.98,0.84,1.12,0.93,1.01
Connecticut,2020-08-10,estimate,0.98,0.84,1.13,0.93,1.01
Connecticut,2020-08-11,estimate,0.98,0.83,1.13,0.94,1.02
Connecticut,2020-08-12,estimate,0.98,0.81,1.13,0.94,1.02
Connecticut,2020-08-13,estimate based on partial data,0.98,0.83,1.16,0.94,1.02
Connecticut,2020-08-14,estimate based on partial data,0.98,0.81,1.16,0.93,1.02
Connecticut,2020-08-15,estimate based on partial data,0.98,0.8,1.17,0.93,1.02
Connecticut,2020-08-16,estimate based on partial data,0.98,0.8,1.19,0.94,1.03
Connecticut,2020-08-17,estimate based on partial data,0.98,0.79,1.2,0.93,1.03
Connecticut,2020-08-18,estimate based on partial data,0.98,0.77,1.19,0.94,1.03
Connecticut,2020-08-19,estimate based on partial data,0.98,0.78,1.22,0.93,1.03
Connecticut,2020-08-20,estimate based on partial data,0.98,0.76,1.22,0.94,1.04
Connecticut,2020-08-21,estimate based on partial data,0.98,0.78,1.24,0.92,1.02
Connecticut,2020-08-22,estimate based on partial data,0.98,0.75,1.22,0.93,1.03
Connecticut,2020-08-23,estimate based on partial data,0.98,0.74,1.23,0.92,1.03
Connecticut,2020-08-24,estimate based on partial data,0.98,0.76,1.26,0.93,1.04
Connecticut,2020-08-25,estimate based on partial data,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-08-26,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-08-27,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-08-28,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-08-29,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-08-30,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-08-31,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-09-01,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-09-02,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-09-03,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-09-04,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-09-05,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-09-06,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-09-07,forecast,0.98,0.73,1.25,0.93,1.05
Connecticut,2020-09-08,forecast,0.98,0.73,1.25,0.93,1.05
Delaware,2020-06-16,estimate,1.14,1.06,1.24,1.11,1.17
Delaware,2020-06-17,estimate,1.14,1.04,1.22,1.1,1.17
Delaware,2020-06-18,estimate,1.13,1.04,1.22,1.1,1.16
Delaware,2020-06-19,estimate,1.12,1.02,1.2,1.1,1.16
Delaware,2020-06-20,estimate,1.12,1.02,1.2,1.08,1.15
Delaware,2020-06-21,estimate,1.11,1.02,1.2,1.07,1.14
Delaware,2020-06-22,estimate,1.1,1.01,1.19,1.07,1.14
Delaware,2020-06-23,estimate,1.09,1,1.18,1.06,1.13
Delaware,2020-06-24,estimate,1.09,0.99,1.17,1.06,1.13
Delaware,2020-06-25,estimate,1.08,0.99,1.17,1.05,1.12
Delaware,2020-06-26,estimate,1.07,0.98,1.17,1.04,1.11
Delaware,2020-06-27,estimate,1.07,0.97,1.15,1.04,1.1
Delaware,2020-06-28,estimate,1.06,0.96,1.14,1.02,1.09
Delaware,2020-06-29,estimate,1.05,0.96,1.13,1.02,1.09
Delaware,2020-06-30,estimate,1.04,0.96,1.13,1.01,1.08
Delaware,2020-07-01,estimate,1.04,0.95,1.12,1,1.07
Delaware,2020-07-02,estimate,1.03,0.94,1.12,1,1.07
Delaware,2020-07-03,estimate,1.02,0.93,1.11,0.99,1.06
Delaware,2020-07-04,estimate,1.02,0.93,1.11,0.99,1.06
Delaware,2020-07-05,estimate,1.01,0.93,1.1,0.98,1.05
Delaware,2020-07-06,estimate,1.01,0.92,1.09,0.98,1.05
Delaware,2020-07-07,estimate,1,0.91,1.09,0.97,1.04
Delaware,2020-07-08,estimate,1,0.91,1.09,0.97,1.04
Delaware,2020-07-09,estimate,0.99,0.9,1.08,0.96,1.03
Delaware,2020-07-10,estimate,0.99,0.9,1.08,0.96,1.03
Delaware,2020-07-11,estimate,0.99,0.9,1.08,0.96,1.03
Delaware,2020-07-12,estimate,0.99,0.9,1.08,0.96,1.03
Delaware,2020-07-13,estimate,0.99,0.9,1.08,0.96,1.03
Delaware,2020-07-14,estimate,0.99,0.9,1.08,0.95,1.02
Delaware,2020-07-15,estimate,0.99,0.9,1.08,0.95,1.02
Delaware,2020-07-16,estimate,0.99,0.9,1.08,0.96,1.02
Delaware,2020-07-17,estimate,0.99,0.9,1.08,0.95,1.01
Delaware,2020-07-18,estimate,0.99,0.91,1.08,0.95,1.02
Delaware,2020-07-19,estimate,0.99,0.9,1.08,0.95,1.02
Delaware,2020-07-20,estimate,0.99,0.9,1.08,0.95,1.02
Delaware,2020-07-21,estimate,0.99,0.9,1.08,0.95,1.02
Delaware,2020-07-22,estimate,0.99,0.9,1.09,0.95,1.01
Delaware,2020-07-23,estimate,0.99,0.91,1.1,0.94,1.01
Delaware,2020-07-24,estimate,0.99,0.9,1.09,0.94,1.01
Delaware,2020-07-25,estimate,0.98,0.9,1.09,0.94,1.01
Delaware,2020-07-26,estimate,0.98,0.89,1.08,0.93,1
Delaware,2020-07-27,estimate,0.98,0.89,1.08,0.94,1.01
Delaware,2020-07-28,estimate,0.97,0.88,1.08,0.94,1.01
Delaware,2020-07-29,estimate,0.97,0.88,1.08,0.93,1
Delaware,2020-07-30,estimate,0.97,0.87,1.07,0.92,0.99
Delaware,2020-07-31,estimate,0.96,0.86,1.06,0.91,0.98
Delaware,2020-08-01,estimate,0.95,0.86,1.05,0.91,0.98
Delaware,2020-08-02,estimate,0.95,0.85,1.04,0.9,0.97
Delaware,2020-08-03,estimate,0.94,0.85,1.04,0.9,0.97
Delaware,2020-08-04,estimate,0.93,0.84,1.04,0.89,0.97
Delaware,2020-08-05,estimate,0.92,0.82,1.02,0.89,0.97
Delaware,2020-08-06,estimate,0.92,0.8,1.01,0.88,0.95
Delaware,2020-08-07,estimate,0.91,0.8,1.01,0.86,0.94
Delaware,2020-08-08,estimate,0.9,0.78,1,0.87,0.95
Delaware,2020-08-09,estimate,0.89,0.76,0.99,0.86,0.95
Delaware,2020-08-10,estimate,0.88,0.75,0.99,0.85,0.94
Delaware,2020-08-11,estimate,0.88,0.74,0.99,0.84,0.94
Delaware,2020-08-12,estimate,0.87,0.72,1,0.82,0.93
Delaware,2020-08-13,estimate based on partial data,0.86,0.71,1.01,0.82,0.93
Delaware,2020-08-14,estimate based on partial data,0.86,0.69,1.01,0.81,0.93
Delaware,2020-08-15,estimate based on partial data,0.85,0.68,1.01,0.8,0.93
Delaware,2020-08-16,estimate based on partial data,0.85,0.66,1.01,0.8,0.93
Delaware,2020-08-17,estimate based on partial data,0.84,0.63,1.01,0.79,0.93
Delaware,2020-08-18,estimate based on partial data,0.84,0.63,1.03,0.78,0.93
Delaware,2020-08-19,estimate based on partial data,0.84,0.6,1.02,0.79,0.95
Delaware,2020-08-20,estimate based on partial data,0.84,0.59,1.03,0.78,0.94
Delaware,2020-08-21,estimate based on partial data,0.84,0.57,1.03,0.79,0.95
Delaware,2020-08-22,estimate based on partial data,0.83,0.57,1.05,0.78,0.95
Delaware,2020-08-23,estimate based on partial data,0.83,0.57,1.07,0.78,0.96
Delaware,2020-08-24,estimate based on partial data,0.83,0.54,1.06,0.78,0.97
Delaware,2020-08-25,estimate based on partial data,0.83,0.54,1.07,0.78,0.97
Delaware,2020-08-26,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-08-27,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-08-28,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-08-29,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-08-30,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-08-31,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-09-01,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-09-02,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-09-03,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-09-04,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-09-05,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-09-06,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-09-07,forecast,0.83,0.54,1.07,0.78,0.97
Delaware,2020-09-08,forecast,0.83,0.54,1.07,0.78,0.97
District of Columbia,2020-06-16,estimate,0.86,0.72,1,0.83,0.95
District of Columbia,2020-06-17,estimate,0.87,0.72,1,0.84,0.96
District of Columbia,2020-06-18,estimate,0.88,0.73,0.99,0.84,0.95
District of Columbia,2020-06-19,estimate,0.89,0.76,1.01,0.85,0.96
District of Columbia,2020-06-20,estimate,0.91,0.78,1.01,0.87,0.97
District of Columbia,2020-06-21,estimate,0.93,0.81,1.03,0.89,0.98
District of Columbia,2020-06-22,estimate,0.95,0.85,1.05,0.91,0.99
District of Columbia,2020-06-23,estimate,0.97,0.87,1.06,0.95,1.02
District of Columbia,2020-06-24,estimate,1,0.91,1.09,0.96,1.03
District of Columbia,2020-06-25,estimate,1.03,0.93,1.12,1,1.07
District of Columbia,2020-06-26,estimate,1.05,0.95,1.15,1.01,1.09
District of Columbia,2020-06-27,estimate,1.08,0.98,1.2,1.03,1.11
District of Columbia,2020-06-28,estimate,1.1,1,1.24,1.05,1.14
District of Columbia,2020-06-29,estimate,1.13,1.02,1.27,1.06,1.16
District of Columbia,2020-06-30,estimate,1.15,1.03,1.3,1.06,1.17
District of Columbia,2020-07-01,estimate,1.17,1.04,1.33,1.09,1.21
District of Columbia,2020-07-02,estimate,1.19,1.06,1.35,1.12,1.24
District of Columbia,2020-07-03,estimate,1.2,1.05,1.35,1.12,1.24
District of Columbia,2020-07-04,estimate,1.2,1.08,1.37,1.13,1.25
District of Columbia,2020-07-05,estimate,1.2,1.06,1.34,1.13,1.24
District of Columbia,2020-07-06,estimate,1.2,1.07,1.33,1.13,1.24
District of Columbia,2020-07-07,estimate,1.19,1.08,1.33,1.13,1.23
District of Columbia,2020-07-08,estimate,1.18,1.07,1.31,1.13,1.22
District of Columbia,2020-07-09,estimate,1.17,1.07,1.29,1.11,1.2
District of Columbia,2020-07-10,estimate,1.15,1.06,1.27,1.11,1.19
District of Columbia,2020-07-11,estimate,1.14,1.03,1.24,1.09,1.17
District of Columbia,2020-07-12,estimate,1.12,1.03,1.23,1.08,1.16
District of Columbia,2020-07-13,estimate,1.11,1.01,1.21,1.08,1.16
District of Columbia,2020-07-14,estimate,1.09,0.99,1.18,1.04,1.12
District of Columbia,2020-07-15,estimate,1.07,0.97,1.17,1.04,1.12
District of Columbia,2020-07-16,estimate,1.06,0.96,1.15,1.03,1.11
District of Columbia,2020-07-17,estimate,1.05,0.95,1.15,1.02,1.1
District of Columbia,2020-07-18,estimate,1.03,0.94,1.14,0.99,1.07
District of Columbia,2020-07-19,estimate,1.02,0.92,1.12,0.98,1.06
District of Columbia,2020-07-20,estimate,1.01,0.91,1.1,0.99,1.06
District of Columbia,2020-07-21,estimate,1.01,0.91,1.1,0.98,1.05
District of Columbia,2020-07-22,estimate,1,0.9,1.09,0.97,1.04
District of Columbia,2020-07-23,estimate,1,0.9,1.08,0.97,1.04
District of Columbia,2020-07-24,estimate,0.99,0.9,1.08,0.96,1.03
District of Columbia,2020-07-25,estimate,0.99,0.89,1.07,0.96,1.03
District of Columbia,2020-07-26,estimate,0.98,0.9,1.08,0.95,1.02
District of Columbia,2020-07-27,estimate,0.98,0.89,1.07,0.96,1.02
District of Columbia,2020-07-28,estimate,0.98,0.89,1.07,0.95,1.02
District of Columbia,2020-07-29,estimate,0.98,0.88,1.06,0.94,1.01
District of Columbia,2020-07-30,estimate,0.97,0.88,1.07,0.94,1.01
District of Columbia,2020-07-31,estimate,0.97,0.88,1.07,0.94,1.01
District of Columbia,2020-08-01,estimate,0.97,0.87,1.06,0.92,0.99
District of Columbia,2020-08-02,estimate,0.96,0.86,1.06,0.92,0.99
District of Columbia,2020-08-03,estimate,0.96,0.87,1.07,0.92,0.99
District of Columbia,2020-08-04,estimate,0.95,0.86,1.06,0.91,0.98
District of Columbia,2020-08-05,estimate,0.95,0.86,1.05,0.92,0.99
District of Columbia,2020-08-06,estimate,0.95,0.85,1.04,0.91,0.98
District of Columbia,2020-08-07,estimate,0.94,0.84,1.04,0.9,0.98
District of Columbia,2020-08-08,estimate,0.94,0.84,1.03,0.89,0.97
District of Columbia,2020-08-09,estimate,0.93,0.84,1.03,0.89,0.97
District of Columbia,2020-08-10,estimate,0.93,0.82,1.02,0.9,0.97
District of Columbia,2020-08-11,estimate,0.92,0.82,1.02,0.89,0.97
District of Columbia,2020-08-12,estimate,0.92,0.8,1.02,0.87,0.96
District of Columbia,2020-08-13,estimate based on partial data,0.91,0.79,1.03,0.86,0.95
District of Columbia,2020-08-14,estimate based on partial data,0.91,0.78,1.04,0.87,0.97
District of Columbia,2020-08-15,estimate based on partial data,0.91,0.76,1.04,0.86,0.97
District of Columbia,2020-08-16,estimate based on partial data,0.91,0.74,1.06,0.86,0.98
District of Columbia,2020-08-17,estimate based on partial data,0.91,0.71,1.07,0.85,0.99
District of Columbia,2020-08-18,estimate based on partial data,0.91,0.71,1.1,0.85,0.99
District of Columbia,2020-08-19,estimate based on partial data,0.91,0.67,1.11,0.83,0.99
District of Columbia,2020-08-20,estimate based on partial data,0.91,0.66,1.14,0.81,0.99
District of Columbia,2020-08-21,estimate based on partial data,0.91,0.66,1.19,0.81,1
District of Columbia,2020-08-22,estimate based on partial data,0.91,0.59,1.17,0.82,1.02
District of Columbia,2020-08-23,estimate based on partial data,0.91,0.6,1.22,0.82,1.03
District of Columbia,2020-08-24,estimate based on partial data,0.91,0.58,1.24,0.81,1.04
District of Columbia,2020-08-25,estimate based on partial data,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-08-26,forecast,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-08-27,forecast,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-08-28,forecast,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-08-29,forecast,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-08-30,forecast,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-08-31,forecast,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-09-01,forecast,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-09-02,forecast,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-09-03,forecast,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-09-04,forecast,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-09-05,forecast,0.91,0.54,1.25,0.81,1.05
District of Columbia,2020-09-06,forecast,0.91,0.54,1.25,0.81,1.05
